"location","plotID","sizeplot","chm_name","plot","area_sh_m2","crs_orig","TCHmean","below_c10","over_c10","NApixel","cover10","Basal.area.sum","WD.mean.weight","totalbiomas.wpfeld","totalbiomas.wpchav","totalbiomas.wpmich","totalbiomas.wpweib","totalbiomas.wplog2","totalbiomas.wplog1","totalbiomas.wpfeld.area","totalbiomas.wpchav.area","totalbiomas.wpmich.area","totalbiomas.wpweib.area","totalbiomas.wplog2.area","totalbiomas.wplog1.area","AGB.35.wpfeld","AGB.35.wpchav","AGB.35.wpmich","AGB.35.wpweib","AGB.35.wplog2","AGB.35.wplog1","AGB.35.area.wpfeld","AGB.35.area.wpchav","AGB.35.area.wpmich","AGB.35.area.wpweib","AGB.35.area.wplog2","AGB.35.area.wplog1","AGB.10.wpfeld","AGB.10.wpchav","AGB.10.wpmich","AGB.10.wpweib","AGB.10.wplog2","AGB.10.wplog1","AGB.10.area.wpfeld","AGB.10.area.wpchav","AGB.10.area.wpmich","AGB.10.area.wpweib","AGB.10.area.wplog2","AGB.10.area.wplog1"
"ANA_A01","P01","50x50","ANA_A01_2018_LAS__02202","plot",2498.64942726493,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",19.4565592633417,237,2277,0,0.905727923627685,51666.1615420397,0.649955861479539,51.5318362521449,53.9611208672025,54.3198246883236,55.0012714010882,53.9925275207841,52.874586133272,0.020612734500858,0.021584448346881,0.0217279298753294,0.0220005085604353,0.0215970110083136,0.0211498344533088,23.2231116997769,24.365742522998,25.5402212241982,25.4961990723451,25.0677142715023,24.565861580904,0.00928924467991075,0.0097462970091992,0.0102160884896793,0.010198479628938,0.0100270857086009,0.0098263446323616,28.308724552368,29.5953783442045,28.7796034641254,29.5050723287431,28.9248132492818,28.308724552368,0.0113234898209472,0.0118381513376818,0.0115118413856502,0.0118020289314972,0.0115699252997127,0.0113234898209472
"ANA_A01","P02","50x50","ANA_A01_2018_LAS__02202","plot",2446.01444701542,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",27.9605786368044,50,2404,0,0.979625101874491,63231.8013785427,0.625748817630817,71.6520715362936,74.1505198391501,75.1713775149352,75.8148039406476,74.591062282937,74.5542104988166,0.0286608286145174,0.02966020793566,0.0300685510059741,0.030325921576259,0.0298364249131748,0.0298216841995266,42.4920248808064,43.8553975400429,45.3655215800652,45.3611751817706,44.7111818359988,45.3941638433294,0.0169968099523226,0.0175421590160172,0.0181462086320261,0.0181444700727082,0.0178844727343995,0.0181576655373318,29.1600466554872,30.2951222991071,29.80585593487,30.453628758877,29.8798804469382,29.1600466554872,0.0116640186621949,0.0121180489196429,0.011922342373948,0.0121814515035508,0.0119519521787753,0.0116640186621949
"ANA_A01","P03","50x50","ANA_A01_2018_LAS__02202","plot",2416.3740791392,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",32.6741118264434,33,2399,0,0.986430921052632,52787.1760486201,0.591891029646988,58.7241517933495,60.1701622692587,60.4853087609308,60.9640136011299,60.235518072213,59.3879311707638,0.0234896607173398,0.0240680649077035,0.0241941235043723,0.024385605440452,0.0240942072288852,0.0237551724683055,34.5353309395765,35.1231828154684,35.6550698928512,35.6325428965458,35.421777906803,35.1991103169907,0.0138141323758306,0.0140492731261873,0.0142620279571405,0.0142530171586183,0.0141687111627212,0.0140796441267963,24.1888208537731,25.0469794537903,24.8302388680797,25.3314707045841,24.81374016541,24.1888208537731,0.00967552834150924,0.0100187917815161,0.00993209554723187,0.0101325882818336,0.00992549606616399,0.00967552834150924
"ANA_A01","P04","50x50","ANA_A01_2018_LAS__02202","plot",2326.61895776936,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",24.3221911152683,126,2197,0,0.945759793370641,43653.1132180323,0.627539630384462,46.7759784353674,48.2084693288383,48.0653686510737,48.6025384716107,47.9877838587806,47.3389212257479,0.0187103913741469,0.0192833877315353,0.0192261474604295,0.0194410153886443,0.0191951135435122,0.0189355684902992,25.9204568578282,26.3938970242662,26.90175485618,26.8822203284228,26.7017183167301,26.4833996482088,0.0103681827431313,0.0105575588097065,0.010760701942472,0.0107528881313691,0.010680687326692,0.0105933598592835,20.8555215775391,21.8145723045721,21.1636137948936,21.7203181431879,21.2860655420505,20.8555215775391,0.00834220863101565,0.00872582892182884,0.00846544551795745,0.00868812725727516,0.00851442621682019,0.00834220863101565
"ANA_A01","P05","50x50","ANA_A01_2018_LAS__02202","plot",2387.73661356512,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",19.7369121235051,559,1831,0,0.766108786610879,47935.6302216447,0.739592754030652,71.4294152418492,73.6503716433681,73.8283061024043,74.0757197481043,73.4163110270196,72.5883584094892,0.0285717660967397,0.0294601486573472,0.0295313224409617,0.0296302878992417,0.0293665244108078,0.0290353433637957,56.0855783999576,57.5089378987544,58.0601411126772,58.0177359575327,57.6482182797211,57.2445215675976,0.022434231359983,0.0230035751595018,0.0232240564450709,0.0232070943830131,0.0230592873118884,0.022897808627039,15.3438368418916,16.1414337446137,15.7681649897271,16.0579837905716,15.7680927472985,15.3438368418916,0.00613753473675665,0.00645657349784548,0.00630726599589083,0.00642319351622864,0.00630723709891941,0.00613753473675665
"ANA_A01","P06","50x50","ANA_A01_2018_LAS__02202","plot",2619.65709110862,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",28.998894780331,327,2306,0,0.87580706418534,72215.6882263073,0.687022327113322,112.302997091627,114.858499515864,115.791162292214,116.155473012887,115.147564473155,114.024251724859,0.0449211988366509,0.0459433998063455,0.0463164649168857,0.046462189205155,0.0460590257892618,0.0456097006899437,88.5306425337157,90.0259923318086,91.313811397199,91.245245148367,90.7031494747435,90.2518971669476,0.0354122570134863,0.0360103969327234,0.0365255245588796,0.0364980980593468,0.0362812597898974,0.036100758866779,23.7723545579116,24.8325071840551,24.4773508950152,24.9102278645204,24.4444149984111,23.7723545579116,0.00950894182316464,0.00993300287362205,0.00979094035800609,0.00996409114580817,0.00977776599936446,0.00950894182316464
"ANA_A01","P07","50x50","ANA_A01_2018_LAS__02202","plot",2657.60964628286,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",18.7409798009356,484,2190,0,0.818997756170531,62664.2726656717,0.67005310408978,78.6270114135199,80.6747201272174,80.9122552644409,81.4126345635679,80.6253521239476,79.6507900253364,0.0314508045654079,0.032269888050887,0.0323649021057763,0.0325650538254272,0.032250140849579,0.0318603160101346,55.2287171126585,56.1605906497352,57.0159152014583,56.9816609199462,56.6534605432688,56.252495724475,0.0220914868450634,0.0224642362598941,0.0228063660805833,0.0227926643679785,0.0226613842173075,0.02250099828979,23.3982943008614,24.5141294774822,23.8963400629826,24.4309736436217,23.9718915806788,23.3982943008614,0.00935931772034455,0.00980565179099288,0.00955853602519303,0.00977238945744868,0.00958875663227154,0.00935931772034455
"ANA_A01","P08","50x50","ANA_A01_2018_LAS__02202","plot",2736.38503855793,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",25.6684859535721,25,2716,0,0.990879241152864,58704.7585107382,0.65110128164017,67.1043229041298,69.56568022036,69.2261123294003,69.9143921657667,69.0550438778707,68.1367197884308,0.0268417291616519,0.027826272088144,0.0276904449317601,0.0279657568663067,0.0276220175511483,0.0272546879153723,41.2137729497628,42.2211269554586,42.9900041284757,42.9540364240079,42.624264980696,42.2461698340638,0.0164855091799051,0.0168884507821834,0.0171960016513903,0.0171816145696032,0.0170497059922784,0.0168984679336255,25.890549954367,27.3445532649015,26.2361082009246,26.9603557417587,26.4307788971747,25.890549954367,0.0103562199817468,0.0109378213059606,0.0104944432803699,0.0107841422967035,0.0105723115588699,0.0103562199817468
"ANA_A01","P09","50x50","ANA_A01_2018_LAS__02202","plot",3052.31200591475,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",24.9014815076702,331,2720,0,0.891510980006555,76316.6604444504,0.721755303245447,107.953777732956,110.645406541032,110.856780404899,111.384846773317,110.463922632105,109.287627125406,0.0431815110931825,0.044258162616413,0.0443427121619596,0.0445539387093267,0.0441855690528419,0.0437150508501625,82.4554824749185,83.88805599119,84.7867637742544,84.74606794591,84.3195334712489,83.7893318673685,0.0329821929899674,0.033555222396476,0.0339147055097018,0.033898427178364,0.0337278133884996,0.0335157327469474,25.4982952580377,26.7573505498424,26.0700166306445,26.6387788274066,26.1443891608559,25.4982952580377,0.0101993181032151,0.010702940219937,0.0104280066522578,0.0106555115309627,0.0104577556643423,0.0101993181032151
"ANA_A01","P10","50x50","ANA_A01_2018_LAS__02202","plot",2272.2671572268,"+proj=utm +zone=21 +south +datum=WGS84 +units=m +no_defs",25.0710088094951,103,2167,0,0.954625550660793,62416.1418239096,0.723218159926707,78.2085613414321,80.7278883253411,81.1288500033305,81.5916083582127,80.7093807160607,79.6077376969409,0.0312834245365728,0.0322911553301364,0.0324515400013322,0.0326366433432851,0.0322837522864243,0.0318430950787764,55.6067927931074,57.0977542367206,58.0246050580794,57.9778876589604,57.5307511404339,57.0059691486162,0.0222427171172429,0.0228391016946883,0.0232098420232318,0.0231911550635842,0.0230123004561736,0.0228023876594465,22.6017685483247,23.6301340886205,23.1042449452511,23.6137206992523,23.1786295756267,22.6017685483247,0.00904070741932989,0.00945205363544819,0.00924169797810043,0.00944548827970091,0.00927145183025069,0.00904070741932989
