"parcela","state","Name","location","plotID","sizeplot","year","owner","Alive.parcela","Dead.parcela","NA.height","No.height"
"AND_A01 T05P02 50x50 2013","PA","Fazenda Andiroba","AND_A01","T05P02","50x50",2013,"PaiSus","12","3",0,12
"AND_A01 T05P03 50x50 2013","PA","Fazenda Andiroba","AND_A01","T05P03","50x50",2013,"PaiSus","12","2",0,12
"AND_A01 T05P04 50x50 2013","PA","Fazenda Andiroba","AND_A01","T05P04","50x50",2013,"PaiSus","15","3",0,15
"BON_A01 P01 50x50 2014","AC","Bonal","BON_A01","P01","50x50",2014,"PaiSus","32","1",0,32
"BON_A01 P02 50x50 2014","AC","Bonal","BON_A01","P02","50x50",2014,"PaiSus","22","1",0,22
"BON_A01 P03 50x50 2014","AC","Bonal","BON_A01","P03","50x50",2014,"PaiSus","31","2",0,28
"BON_A01 P04 50x50 2014","AC","Bonal","BON_A01","P04","50x50",2014,"PaiSus","26","2",0,26
"BON_A01 P05 50x50 2014","AC","Bonal","BON_A01","P05","50x50",2014,"PaiSus","34","0",0,33
"BON_A01 P06 50x50 2014","AC","Bonal","BON_A01","P06","50x50",2014,"PaiSus","15","2",0,15
"BON_A01 P07 50x50 2014","AC","Bonal","BON_A01","P07","50x50",2014,"PaiSus","25","1",0,25
"BON_A01 P08 50x50 2014","AC","Bonal","BON_A01","P08","50x50",2014,"PaiSus","30","1",0,30
"BON_A01 P09 50x50 2014","AC","Bonal","BON_A01","P09","50x50",2014,"PaiSus","19","3",0,19
"BON_A01 P10 50x50 2014","AC","Bonal","BON_A01","P10","50x50",2014,"PaiSus","23","0",0,23
"CAU_A01 T01_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T01_P1","50x50",2018,"PaiSus","66","3",64,0
"CAU_A01 T01_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T01_P2","50x50",2018,"PaiSus","65","2",63,0
"CAU_A01 T02_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T02_P1","50x50",2018,"PaiSus","74","3",74,0
"CAU_A01 T02_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T02_P2","50x50",2018,"PaiSus","57","4",57,0
"CAU_A01 T02_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T02_P3","50x50",2018,"PaiSus","63","1",63,0
"CAU_A01 T02_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T02_P4","50x50",2018,"PaiSus","54","0",53,0
"CAU_A01 T03_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T03_P1","50x50",2018,"PaiSus","41","2",40,0
"CAU_A01 T03_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T03_P2","50x50",2018,"PaiSus","40","5",40,0
"CAU_A01 T03_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T03_P3","50x50",2018,"PaiSus","47","0",46,0
"CAU_A01 T03_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T03_P4","50x50",2018,"PaiSus","34","4",33,0
"CAU_A01 T04_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T04_P1","50x50",2018,"PaiSus","66","1",66,0
"CAU_A01 T04_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T04_P2","50x50",2018,"PaiSus","48","0",48,0
"CAU_A01 T04_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T04_P3","50x50",2018,"PaiSus","56","6",56,0
"CAU_A01 T04_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T04_P4","50x50",2018,"PaiSus","49","0",49,0
"CAU_A01 T05_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T05_P2","50x50",2018,"PaiSus","45","8",45,0
"CAU_A01 T05_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T05_P3","50x50",2018,"PaiSus","28","4",28,0
"CAU_A01 T05_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T05_P4","50x50",2018,"PaiSus","48","7",48,0
"CAU_A01 T06_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T06_P1","50x50",2018,"PaiSus","48","9",45,0
"CAU_A01 T06_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T06_P2","50x50",2018,"PaiSus","50","5",50,0
"CAU_A01 T06_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T06_P3","50x50",2018,"PaiSus","51","0",51,0
"CAU_A01 T06_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T06_P4","50x50",2018,"PaiSus","46","7",44,0
"CAU_A01 T07_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T07_P1","50x50",2018,"PaiSus","40","4",38,0
"CAU_A01 T07_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T07_P2","50x50",2018,"PaiSus","44","3",43,0
"CAU_A01 T07_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T07_P3","50x50",2018,"PaiSus","30","6",29,0
"CAU_A01 T07_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T07_P4","50x50",2018,"PaiSus","52","0",49,0
"CAU_A01 T08_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T08_P1","50x50",2018,"PaiSus","46","2",46,0
"CAU_A01 T08_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T08_P2","50x50",2018,"PaiSus","23","5",22,0
"CAU_A01 T08_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T08_P3","50x50",2018,"PaiSus","46","3",42,0
"CAU_A01 T08_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T08_P4","50x50",2018,"PaiSus","53","4",53,0
"CAU_A01 T09_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T09_P1","50x50",2018,"PaiSus","50","0",50,0
"CAU_A01 T09_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T09_P2","50x50",2018,"PaiSus","56","3",56,0
"CAU_A01 T09_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T09_P3","50x50",2018,"PaiSus","34","5",33,0
"CAU_A01 T09_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T09_P4","50x50",2018,"PaiSus","42","4",41,0
"CAU_A01 T10_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T10_P1","50x50",2018,"PaiSus","54","6",52,0
"CAU_A01 T10_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T10_P2","50x50",2018,"PaiSus","52","2",52,0
"CAU_A01 T10_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T10_P3","50x50",2018,"PaiSus","61","0",61,0
"CAU_A01 T10_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T10_P4","50x50",2018,"PaiSus","46","4",46,0
"CAU_A01 T11_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T11_P1","50x50",2018,"PaiSus","53","1",53,0
"CAU_A01 T11_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T11_P2","50x50",2018,"PaiSus","42","1",41,0
"CAU_A01 T11_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T11_P3","50x50",2018,"PaiSus","47","3",47,0
"CAU_A01 T11_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T11_P4","50x50",2018,"PaiSus","52","1",52,0
"CAU_A01 T12_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T12_P1","50x50",2018,"PaiSus","51","5",51,0
"CAU_A01 T12_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T12_P2","50x50",2018,"PaiSus","49","0",49,0
"CAU_A01 T12_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T12_P3","50x50",2018,"PaiSus","47","4",47,0
"CAU_A01 T12_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T12_P4","50x50",2018,"PaiSus","48","1",48,0
"CAU_A01 T13_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T13_P1","50x50",2018,"PaiSus","62","3",60,0
"CAU_A01 T13_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T13_P2","50x50",2018,"PaiSus","63","0",62,0
"CAU_A01 T13_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T13_P3","50x50",2018,"PaiSus","52","5",51,0
"CAU_A01 T13_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T13_P4","50x50",2018,"PaiSus","48","3",48,0
"CAU_A01 T14_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T14_P1","50x50",2018,"PaiSus","49","2",47,0
"CAU_A01 T14_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T14_P2","50x50",2018,"PaiSus","48","4",48,0
"CAU_A01 T14_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T14_P3","50x50",2018,"PaiSus","46","3",45,0
"CAU_A01 T14_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T14_P4","50x50",2018,"PaiSus","47","4",46,0
"CAU_A01 T15_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T15_P1","50x50",2018,"PaiSus","44","5",43,0
"CAU_A01 T15_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T15_P2","50x50",2018,"PaiSus","57","2",55,0
